b'1681',b'You So Crazy (1994)'
b'958',b'To Live (Huozhe) (1994)'
b'151',b'Willy Wonka and the Chocolate Factory (1971)'
b'992',b'Head Above Water (1996)'
b'290',b'Fierce Creatures (1997)'
b'201',b'Evil Dead II (1987)'
b'254',b'Batman & Robin (1997)'
b'65',"b""What's Eating Gilbert Grape (1993)"""
b'655',b'Stand by Me (1986)'
b'784',b'Beyond Bedlam (1993)'
b'1114',b'Faithful (1996)'
b'980',b'Mother Night (1996)'
b'1409',"b'Swan Princess, The (1994)'"
b'262',b'In the Company of Men (1997)'
b'283',b'Emma (1996)'
b'903',b'Afterglow (1997)'
b'861',b'Nosferatu a Venezia (1986)'
b'1389',b'Mondo (1996)'
b'1139',b'Hackers (1995)'
b'1266',b'Bread and Chocolate (Pane e cioccolata) (1973)'
b'626',b'So Dear to My Heart (1949)'
b'91',"b'Nightmare Before Christmas, The (1993)'"
b'291',b'Absolute Power (1997)'
b'82',b'Jurassic Park (1993)'
b'380',b'Star Trek: Generations (1994)'
b'1415',"b'Next Karate Kid, The (1994)'"
b'1454',b'Angel and the Badman (1947)'
b'1115',b'Twelfth Night (1996)'
b'752',"b'Replacement Killers, The (1998)'"
b'1463',"b'Boys, Les (1997)'"
b'1313',b'Palmetto (1998)'
b'1315',b'Inventing the Abbotts (1997)'
b'960',b'Naked (1993)'
b'1179',b'Man of the House (1995)'
b'230',b'Star Trek IV: The Voyage Home (1986)'
b'528',"b'Killing Fields, The (1984)'"
b'1089',b'Speed 2: Cruise Control (1997)'
b'496',"b""It's a Wonderful Life (1946)"""
b'1320',b'Homage (1995)'
b'1504',"b'Bewegte Mann, Der (1994)'"
b'1549',b'Dream Man (1995)'
b'550',b'Die Hard: With a Vengeance (1995)'
b'1014',"b""Romy and Michele's High School Reunion (1997)"""
b'238',b'Raising Arizona (1987)'
b'1075',"b'Man of No Importance, A (1994)'"
b'317',b'In the Name of the Father (1993)'
b'658',b'Pump Up the Volume (1990)'
b'1423',"b'Walking Dead, The (1995)'"
b'1473',"b'Little Princess, The (1939)'"
b'7',b'Twelve Monkeys (1995)'
b'588',b'Beauty and the Beast (1991)'
b'1245',"b""Gridlock'd (1997)"""
b'1243',b'Night Flier (1997)'
b'1314',b'Surviving the Game (1994)'
b'847',b'Looking for Richard (1996)'
b'954',b'Unzipped (1995)'
b'123',"b'Frighteners, The (1996)'"
b'1662',b'Rough Magic (1995)'
b'597',b'Eraser (1996)'
b'51',b'Legends of the Fall (1994)'
b'1307',b'Carmen Miranda: Bananas Is My Business (1994)'
b'1096',b'Commandments (1997)'
b'48',b'Hoop Dreams (1994)'
b'991',b'Keys to Tulsa (1997)'
b'879',"b'Peacemaker, The (1997)'"
b'1465',b'Last Summer in the Hamptons (1995)'
b'1090',b'Sliver (1993)'
b'1366',b'JLG/JLG - autoportrait de d\xc3\xa9cembre (1994)'
b'1388',b'Gabbeh (1996)'
b'148',"b'Ghost and the Darkness, The (1996)'"
b'808',"b'Program, The (1993)'"
b'668',b'Blood Beach (1981)'
b'1610',"b'Truth or Consequences, N.M. (1997)'"
b'34',"b'Doom Generation, The (1995)'"
b'660',b'Fried Green Tomatoes (1991)'
b'295',b'Breakdown (1997)'
b'962',b'Ruby in Paradise (1993)'
b'586',b'Terminal Velocity (1994)'
b'1572',"b""Wend Kuuni (God's Gift) (1982)"""
b'677',b'Fire on the Mountain (1996)'
b'880',b'Soul Food (1997)'
b'241',"b'Last of the Mohicans, The (1992)'"
b'505',b'Dial M for Murder (1954)'
b'1364',b'Bird of Prey (1996)'
b'202',b'Groundhog Day (1993)'
b'1158',"b'Fille seule, La (A Single Girl) (1995)'"
b'1046',b'Malice (1993)'
b'1350',b'Crows and Sparrows (1949)'
b'974',b'Eye for an Eye (1996)'
b'1565',b'Daens (1992)'
b'1429',b'Sliding Doors (1998)'
b'1532',b'Foreign Student (1994)'
b'915',b'Primary Colors (1998)'
b'17',b'From Dusk Till Dawn (1996)'
b'1109',b'Death and the Maiden (1994)'
b'312',b'Midnight in the Garden of Good and Evil (1997)'
b'1357',b'For the Moment (1994)'
b'882',b'Washington Square (1997)'
b'464',b'Vanya on 42nd Street (1994)'
b'778',b'Don Juan DeMarco (1995)'
b'41',b'Billy Madison (1995)'
b'1333',b'Midnight Dancers (Sibak) (1994)'
b'1322',b'Metisse (Caf\xc3\xa9 au Lait) (1993)'
b'860',"b'Believers, The (1987)'"
b'1231',b'Marked for Death (1990)'
b'20',b'Angels and Insects (1995)'
b'661',b'High Noon (1952)'
b'1186',"b'Inkwell, The (1994)'"
b'1361',"b'Search for One-eye Jimmy, The (1996)'"
b'1104',"b""C'est arriv\xc3\xa9 pr\xc3\xa8s de chez vous (1992)"""
b'294',b'Liar Liar (1997)'
b'1140',"b'Road to Wellville, The (1994)'"
b'301',b'In & Out (1997)'
b'1512',"b'World of Apu, The (Apur Sansar) (1959)'"
b'1077',b'Love and a .45 (1994)'
b'1236',"b'Other Voices, Other Rooms (1997)'"
b'1283',b'Out to Sea (1997)'
b'205',b'Patton (1970)'
b'1076',"b'Pagemaster, The (1994)'"
b'483',b'Casablanca (1942)'
b'1025',b'Fire Down Below (1997)'
b'1054',b'Mr. Wrong (1996)'
b'1189',b'Prefontaine (1997)'
b'192',b'Raging Bull (1980)'
b'431',b'Highlander (1986)'
b'1455',"b'Outlaw, The (1943)'"
b'688',b'Leave It to Beaver (1997)'
b'587',"b'Hour of the Pig, The (1993)'"
b'479',b'Vertigo (1958)'
b'428',b'Harold and Maude (1971)'
b'673',b'Cape Fear (1962)'
b'662',b'Somewhere in Time (1980)'
b'1011',b'2 Days in the Valley (1996)'
b'1497',"b'Line King: Al Hirschfeld, The (1996)'"
b'912',b'U.S. Marshalls (1998)'
b'1205',"b'Secret Agent, The (1996)'"
b'1230',b'Ready to Wear (Pret-A-Porter) (1994)'
b'1069',b'Amateur (1994)'
b'814',"b'Great Day in Harlem, A (1994)'"
b'1598',b'City of Industry (1997)'
b'1682',b'Scream of Stone (Schrei aus Stein) (1991)'
b'692',"b'American President, The (1995)'"
b'13',b'Mighty Aphrodite (1995)'
b'1067',b'Bottle Rocket (1996)'
b'418',b'Cinderella (1950)'
b'105',b'Sgt. Bilko (1996)'
b'948',b'Booty Call (1997)'
b'987',b'Underworld (1997)'
b'217',"b""Bram Stoker's Dracula (1992)"""
b'1159',b'Stalker (1979)'
b'702',b'Barcelona (1994)'
b'878',b'That Darn Cat! (1997)'
b'1665',"b""Brother's Kiss, A (1997)"""
b'531',b'Shine (1996)'
b'979',"b'Trigger Effect, The (1996)'"
b'1426',b'Grace of My Heart (1996)'
b'1370',"b""I Can't Sleep (J'ai pas sommeil) (1994)"""
b'1210',b'Virtuosity (1995)'
b'1083',b'Albino Alligator (1996)'
b'594',b'Heavy (1995)'
b'1273',b'Color of Night (1994)'
b'1544',b'It Takes Two (1995)'
b'106',b'Diabolique (1996)'
b'686',"b'Perfect World, A (1993)'"
b'189',"b'Grand Day Out, A (1992)'"
b'1398',b'Anna (1996)'
b'176',b'Aliens (1986)'
b'549',b'Rob Roy (1995)'
b'1251',b'A Chef in Love (1996)'
b'1201',b'Marlene Dietrich: Shadow and Light (1996) '
b'1645',"b'Butcher Boy, The (1998)'"
b'125',b'Phenomenon (1996)'
b'1460',b'Sleepover (1995)'
b'1335',b'American Buffalo (1996)'
b'1436',b'Mr. Jones (1993)'
b'1386',b'Tetsuo II: Body Hammer (1992)'
b'164',"b'Abyss, The (1989)'"
b'488',b'Sunset Blvd. (1950)'
b'816',b'Candyman: Farewell to the Flesh (1995)'
b'744',b'Michael Collins (1996)'
b'1484',"b'Jerky Boys, The (1994)'"
b'414',b'My Favorite Year (1982)'
b'327',b'Cop Land (1997)'
b'1103',b'Trust (1990)'
b'1304',b'New York Cop (1996)'
b'821',b'Mrs. Winterbourne (1996)'
b'983',"b""Rich Man's Wife, The (1996)"""
b'1290',b'Country Life (1994)'
b'1603',b'Angela (1995)'
b'1566',"b'Man from Down Under, The (1943)'"
b'887',"b""Eve's Bayou (1997)"""
b'210',b'Indiana Jones and the Last Crusade (1989)'
b'1365',b'Johnny 100 Pesos (1993)'
b'381',"b""Muriel's Wedding (1994)"""
b'417',"b'Parent Trap, The (1961)'"
b'1540',"b'Amazing Panda Adventure, The (1995)'"
b'1474',b'Nina Takes a Lover (1994)'
b'809',b'Rising Sun (1993)'
b'335',b'How to Be a Player (1997)'
b'365',b'Powder (1995)'
b'906',b'Oscar & Lucinda (1997)'
b'631',"b'Crying Game, The (1992)'"
b'1233',b'N\xc3\xa9nette et Boni (1996)'
b'233',b'Under Siege (1992)'
b'216',b'When Harry Met Sally... (1989)'
b'1036',b'Drop Dead Fred (1991)'
b'358',b'Spawn (1997)'
b'524',"b'Great Dictator, The (1940)'"
b'624',"b'Three Caballeros, The (1945)'"
b'1198',b'Purple Noon (1960)'
b'474',b'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)'
b'207',b'Cyrano de Bergerac (1990)'
b'153',"b'Fish Called Wanda, A (1988)'"
b'393',b'Mrs. Doubtfire (1993)'
b'941',b'With Honors (1994)'
b'1458',"b'Damsel in Distress, A (1937)'"
b'770',b'Devil in a Blue Dress (1995)'
b'854',b'Bad Taste (1987)'
b'132',"b'Wizard of Oz, The (1939)'"
b'892',b'Flubber (1997)'
b'1659',b'Getting Away With Murder (1996)'
b'717',"b'Juror, The (1996)'"
b'822',b'Faces (1968)'
b'1492',b'Window to Paris (1994)'
b'1292',"b'Simple Wish, A (1997)'"
b'1521',b'Mr. Wonderful (1993)'
b'664',"b'Paris, Texas (1984)'"
b'530',"b'Man Who Would Be King, The (1975)'"
b'540',b'Money Train (1995)'
b'844',b'Freeway (1996)'
b'1039',b'Hamlet (1996)'
b'1177',b'Dunston Checks In (1996)'
b'389',b'Black Beauty (1994)'
b'1208',b'Kiss of Death (1995)'
b'334',b'U Turn (1997)'
b'994',"b'Last Time I Committed Suicide, The (1997)'"
b'1098',b'Flirting With Disaster (1996)'
b'146',b'Unhook the Stars (1996)'
b'1271',b'North (1994)'
b'1277',b'Set It Off (1996)'
b'15',"b""Mr. Holland's Opus (1995)"""
b'147',"b'Long Kiss Goodnight, The (1996)'"
b'186',"b'Blues Brothers, The (1980)'"
b'1671',"b'Further Gesture, A (1996)'"
b'1359',b'Boys in Venice (1996)'
b'793',b'Crooklyn (1994)'
b'1190',b'That Old Feeling (1997)'
b'1242',"b'Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)'"
b'1590',"b'To Have, or Not (1995)'"
b'1471',b'Hideaway (1995)'
b'968',"b'Inspector General, The (1949)'"
b'937',"b'Thousand Acres, A (1997)'"
b'1211',b'Blue Sky (1994)'
b'748',"b'Saint, The (1997)'"
b'807',b'Poetic Justice (1993)'
b'1352',b'Shadow of Angels (Schatten der Engel) (1976)'
b'645',b'Paris Is Burning (1990)'
b'1594',b'Everest (1998)'
b'1424',b'I Like It Like That (1994)'
b'411',"b'Nutty Professor, The (1996)'"
b'1071',b'Party Girl (1995)'
b'724',b'Circle of Friends (1995)'
b'914',b'Wild Things (1998)'
b'1643',b'Angel Baby (1995)'
b'769',b'Congo (1995)'
b'1137',b'Beautiful Thing (1996)'
b'26',"b'Brothers McMullen, The (1995)'"
b'1356',"b""Ed's Next Move (1996)"""
b'433',b'Heathers (1989)'
b'1246',b'Bushwhacked (1995)'
b'388',b'Beverly Hills Cop III (1994)'
b'865',"b'Ice Storm, The (1997)'"
b'1121',"b'Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)'"
b'697',"b'Basketball Diaries, The (1995)'"
b'618',b'Picnic (1955)'
b'1644',b'Sudden Manhattan (1996)'
b'237',b'Jerry Maguire (1996)'
b'1216',b'Kissed (1996)'
b'1312',"b'Pompatus of Love, The (1996)'"
b'1116',"b'Mark of Zorro, The (1940)'"
b'1395',b'Hurricane Streets (1998)'
b'142',b'Bedknobs and Broomsticks (1971)'
b'799',b'Boys Life (1995)'
b'188',b'Full Metal Jacket (1987)'
b'263',b'Steel (1997)'
b'92',b'True Romance (1993)'
b'1221',b'When a Man Loves a Woman (1994)'
b'921',b'Farewell My Concubine (1993)'
b'68',"b'Crow, The (1994)'"
b'1094',"b'Thin Line Between Love and Hate, A (1996)'"
b'848',"b'Murder, My Sweet (1944)'"
b'1209',b'Mixed Nuts (1994)'
b'256',b'When the Cats Away (Chacun cherche son chat) (1996)'
b'184',b'Army of Darkness (1993)'
b'60',b'Three Colors: Blue (1993)'
b'78',b'Free Willy (1993)'
b'734',b'Made in America (1993)'
b'173',"b'Princess Bride, The (1987)'"
b'371',"b'Bridges of Madison County, The (1995)'"
b'993',b'Hercules (1997)'
b'473',b'James and the Giant Peach (1996)'
b'453',b'Jaws 3-D (1983)'
b'178',b'12 Angry Men (1957)'
b'1346',b'Dingo (1992)'
b'1170',b'Spanking the Monkey (1994)'
b'675',"b'Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)'"
b'935',b'Paradise Road (1997)'
b'206',b'Akira (1988)'
b'682',b'I Know What You Did Last Summer (1997)'
b'768',b'Casper (1995)'
b'1422',b'Suture (1993)'
b'454',b'Bastard Out of Carolina (1996)'
b'930',b'Chain Reaction (1996)'
b'1224',"b'Scout, The (1994)'"
b'1563',"b'Promise, The (Versprechen, Das) (1994)'"
b'621',"b'Davy Crockett, King of the Wild Frontier (1955)'"
b'80',b'Hot Shots! Part Deux (1993)'
b'1670',b'Tainted (1998)'
b'676',"b'Crucible, The (1996)'"
b'1372',"b'Stranger, The (1994)'"
b'714',b'Carrington (1995)'
b'177',"b'Good, The Bad and The Ugly, The (1966)'"
b'1073',b'Shallow Grave (1994)'
b'1119',b'Some Kind of Wonderful (1987)'
b'1538',b'All Over Me (1997)'
b'1461',b'Here Comes Cookie (1935)'
b'211',b'M*A*S*H (1970)'
b'1240',b'Ghost in the Shell (Kokaku kidotai) (1995)'
b'805',b'Manhattan Murder Mystery (1993)'
b'1596',b'Nemesis 2: Nebula (1995)'
b'1447',b'Century (1993)'
b'1619',b'All Things Fair (1996)'
b'115',"b'Haunted World of Edward D. Wood Jr., The (1995)'"
b'1008',b'I Shot Andy Warhol (1996)'
b'111',"b'Truth About Cats & Dogs, The (1996)'"
b'1007',b'Waiting for Guffman (1996)'
b'1222',b'Judgment Night (1993)'
b'1185',b'In the Army Now (1994)'
b'1631',"b'Slingshot, The (1993)'"
b'1072',"b""Pyromaniac's Love Story, A (1995)"""
b'867',"b'Whole Wide World, The (1996)'"
b'1503',b'Gold Diggers: The Secret of Bear Mountain (1995)'
b'1173',b'Bliss (1997)'
b'515',"b'Boot, Das (1981)'"
b'19',"b""Antonia's Line (1995)"""
b'420',b'Alice in Wonderland (1951)'
b'1576',"b'Hungarian Fairy Tale, A (1987)'"
b'1543',b'Johns (1996)'
b'985',b'Blood & Wine (1997)'
b'6',b'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)'
b'1349',b'Mille bolle blu (1993)'
b'1310',"b'Walk in the Sun, A (1945)'"
b'1459',b'Madame Butterfly (1995)'
b'503',"b'Candidate, The (1972)'"
b'497',b'Bringing Up Baby (1938)'
b'1107',b'Beyond Rangoon (1995)'
b'472',b'Dragonheart (1996)'
b'421',"b""William Shakespeare's Romeo and Juliet (1996)"""
b'1404',b'Withnail and I (1987)'
b'806',b'Menace II Society (1993)'
b'585',b'Son in Law (1993)'
b'1556',b'Condition Red (1995)'
b'1084',b'Anne Frank Remembered (1995)'
b'853',b'Braindead (1992)'
b'1580',b'Liebelei (1933)'
b'576',b'Cliffhanger (1993)'
b'1279',b'Wild America (1997)'
b'559',b'Interview with the Vampire (1994)'
b'902',"b'Big Lebowski, The (1998)'"
b'780',b'Dumb & Dumber (1994)'
b'306',"b'Mrs. Brown (Her Majesty, Mrs. Brown) (1997)'"
b'1406',b'When Night Is Falling (1995)'
b'266',b'Kull the Conqueror (1997)'
b'234',b'Jaws (1975)'
b'909',b'Dangerous Beauty (1998)'
b'965',b'Funny Face (1957)'
b'28',b'Apollo 13 (1995)'
b'35',b'Free Willy 2: The Adventure Home (1995)'
b'525',"b'Big Sleep, The (1946)'"
b'1581',"b'Woman in Question, The (1950)'"
b'919',"b'City of Lost Children, The (1995)'"
b'95',b'Aladdin (1992)'
b'1254',"b""Gone Fishin' (1997)"""
b'366',b'Dangerous Minds (1995)'
b'27',b'Bad Boys (1995)'
b'1567',b'Careful (1992)'
b'1443',b'8 Seconds (1994)'
b'691',b'Dark City (1998)'
b'1009',b'Stealing Beauty (1996)'
b'1343',b'Lotto Land (1995)'
b'1564',b'To Cross the Rubicon (1991)'
b'236',b'Citizen Ruth (1996)'
b'1144',"b'Quiet Room, The (1996)'"
b'1234',b'Chairman of the Board (1998)'
b'1614',"b'Reluctant Debutante, The (1958)'"
b'1430',b'Ill Gotten Gains (1997)'
b'801',"b'Air Up There, The (1994)'"
b'916',b'Lost in Space (1998)'
b'1629',b'Nico Icon (1995)'
b'1505',b'Killer: A Journal of Murder (1995)'
b'773',b'Mute Witness (1994)'
b'1570',b'Quartier Mozart (1992)'
b'1441',b'Moonlight and Valentino (1995)'
b'1022',"b'Fast, Cheap & Out of Control (1997)'"
b'872',b'Love Jones (1997)'
b'439',b'Amityville: A New Generation (1993)'
b'1627',"b'Wife, The (1995)'"
b'895',b'Scream 2 (1997)'
b'1080',b'Celestial Clockwork (1994)'
b'307',"b""Devil's Advocate, The (1997)"""
b'580',"b'Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)'"
b'1562',"b""Eye of Vichy, The (Oeil de Vichy, L') (1993)"""
b'1153',b'Backbeat (1993)'
b'669',b'Body Parts (1991)'
b'969',b'Winnie the Pooh and the Blustery Day (1968)'
b'457',b'Free Willy 3: The Rescue (1997)'
b'1100',b'What Happened Was... (1994)'
b'1214',b'In the Realm of the Senses (Ai no corrida) (1976)'
b'199',"b'Bridge on the River Kwai, The (1957)'"
b'834',b'Halloween: The Curse of Michael Myers (1995)'
b'1193',b'Before the Rain (Pred dozhdot) (1994)'
b'823',b'Mulholland Falls (1996)'
b'976',b'Solo (1996)'
b'1053',b'Now and Then (1995)'
b'257',b'Men in Black (1997)'
b'845',b'That Thing You Do! (1996)'
b'448',"b'Omen, The (1976)'"
b'1483',"b'Man in the Iron Mask, The (1998)'"
b'1500',b'Santa with Muscles (1996)'
b'1649',"b'Big One, The (1997)'"
b'617',"b'Blue Angel, The (Blaue Engel, Der) (1930)'"
b'1298',"b'Band Wagon, The (1953)'"
b'616',b'Night of the Living Dead (1968)'
b'1112',b'Cobb (1994)'
b'49',b'I.Q. (1994)'
b'836',b'Ninotchka (1939)'
b'1122',b'They Made Me a Criminal (1939)'
b'1487',b'Even Cowgirls Get the Blues (1993)'
b'287',"b""Marvin's Room (1996)"""
b'399',"b'Three Musketeers, The (1993)'"
b'1498',b'Farmer & Chase (1995)'
b'1482',"b'Gate of Heavenly Peace, The (1995)'"
b'394',b'Radioland Murders (1994)'
b'1081',b'Curdled (1996)'
b'944',b'Renaissance Man (1994)'
b'240',b'Beavis and Butt-head Do America (1996)'
b'1414',b'Coldblooded (1995)'
b'565',b'Village of the Damned (1995)'
b'1029',b'Jury Duty (1995)'
b'964',"b'Month by the Lake, A (1995)'"
b'1568',b'Vermont Is For Lovers (1992)'
b'489',b'Notorious (1946)'
b'303',"b""Ulee's Gold (1997)"""
b'1110',b'Tank Girl (1995)'
b'1176',b'Welcome To Sarajevo (1997)'
b'728',b'Junior (1994)'
b'1156',b'Cyclo (1995)'
b'426',"b'Transformers: The Movie, The (1986)'"
b'584',"b'Secret Garden, The (1993)'"
b'255',"b""My Best Friend's Wedding (1997)"""
b'59',b'Three Colors: Red (1994)'
b'766',b'Man of the Year (1995)'
b'850',"b'Perfect Candidate, A (1996)'"
b'1256',"b'Designated Mourner, The (1997)'"
b'1377',b'Hotel de Love (1996)'
b'37',b'Nadja (1994)'
b'1519',b'New Jersey Drive (1995)'
b'819',b'Eddie (1996)'
b'569',b'Wolf (1994)'
b'684',b'In the Line of Fire (1993)'
b'228',b'Star Trek: The Wrath of Khan (1982)'
b'619',b'Extreme Measures (1996)'
b'1654',b'Chairman of the Board (1998)'
b'1515',b'Wings of Courage (1995)'
b'665',b'Alien 3 (1992)'
b'442',"b'Amityville Curse, The (1990)'"
b'1606',b'Deceiver (1997)'
b'943',b'Killing Zoe (1994)'
b'425',b'Bob Roberts (1992)'
b'66',b'While You Were Sleeping (1995)'
b'1200',b'Kim (1950)'
b'849',b'Days of Thunder (1990)'
b'1469',b'Tom and Huck (1995)'
b'155',b'Dirty Dancing (1987)'
b'904',b'Ma vie en rose (My Life in Pink) (1997)'
b'1191',"b'Letter From Death Row, A (1998)'"
b'1585',b'American Dream (1990)'
b'440',b'Amityville II: The Possession (1982)'
b'14',"b'Postino, Il (1994)'"
b'1475',b'Bhaji on the Beach (1993)'
b'509',b'My Left Foot (1989)'
b'523',b'Cool Hand Luke (1967)'
b'261',b'Air Bud (1997)'
b'1650',"b'Butcher Boy, The (1998)'"
b'1434',b'Shooting Fish (1997)'
b'280',b'Up Close and Personal (1996)'
b'1088',b'Double Team (1997)'
b'707',b'Enchanted April (1991)'
b'1064',b'Crossfire (1947)'
b'138',b'D3: The Mighty Ducks (1996)'
b'1037',b'Grease 2 (1982)'
b'1141',"b'War Room, The (1993)'"
b'492',b'East of Eden (1955)'
b'1439',"b""Jason's Lyric (1994)"""
b'36',b'Mad Love (1995)'
b'1239',b'Cutthroat Island (1995)'
b'193',"b'Right Stuff, The (1983)'"
b'16',b'French Twist (Gazon maudit) (1995)'
b'640',"b'Cook the Thief His Wife & Her Lover, The (1989)'"
b'1672',b'Kika (1993)'
b'1021',b'8 1/2 (1963)'
b'1293',b'Star Kid (1997)'
b'379',b'Tales From the Crypt Presents: Demon Knight (1995)'
b'413',b'Tales from the Crypt Presents: Bordello of Blood (1996)'
b'359',"b'Assignment, The (1997)'"
b'351',"b'Prophecy II, The (1998)'"
b'462',b'Like Water For Chocolate (Como agua para chocolate) (1992)'
b'1403',b'Caro Diario (Dear Diary) (1994)'
b'874',b'Career Girls (1997)'
b'169',"b'Wrong Trousers, The (1993)'"
b'679',b'Conan the Barbarian (1981)'
b'491',"b'Adventures of Robin Hood, The (1938)'"
b'469',b'Short Cuts (1993)'
b'1106',"b'Newton Boys, The (1998)'"
b'553',"b'Walk in the Clouds, A (1995)'"
b'63',"b'Santa Clause, The (1994)'"
b'1550',b'Destiny Turns on the Radio (1995)'
b'422',b'Aladdin and the King of Thieves (1996)'
b'362',b'Blues Brothers 2000 (1998)'
b'397',b'Striking Distance (1993)'
b'214',b'Pink Floyd - The Wall (1982)'
b'1164',b'Zeus and Roxanne (1997)'
b'182',b'GoodFellas (1990)'
b'443',"b'Birds, The (1963)'"
b'1078',b'Oliver & Company (1988)'
b'329',b'Desperate Measures (1998)'
b'135',b'2001: A Space Odyssey (1968)'
b'159',b'Basic Instinct (1992)'
b'1658',"b'Substance of Fire, The (1996)'"
b'1035',b'Cool Runnings (1993)'
b'1059',"b""Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)"""
b'1586',b'Lashou shentan (1992)'
b'278',b'Bed of Roses (1996)'
b'171',b'Delicatessen (1991)'
b'940',b'Airheads (1994)'
b'313',b'Titanic (1997)'
b'560',"b""Kid in King Arthur's Court, A (1995)"""
b'88',b'Sleepless in Seattle (1993)'
b'1548',b'The Courtyard (1995)'
b'829',b'Fled (1996)'
b'1213',b'Guilty as Sin (1993)'
b'600',"b""Daniel Defoe's Robinson Crusoe (1996)"""
b'533',"b'Daytrippers, The (1996)'"
b'33',b'Desperado (1995)'
b'1229',b'Poison Ivy II (1995)'
b'1319',"b'Neon Bible, The (1995)'"
b'729',b'Nell (1994)'
b'763',b'Happy Gilmore (1996)'
b'1510',b'Mad Dog Time (1996)'
b'510',"b'Magnificent Seven, The (1954)'"
b'1514',b'Dream With the Fishes (1997)'
b'336',b'Playing God (1997)'
b'1625',b'Nightwatch (1997)'
b'232',b'Young Guns (1988)'
b'161',b'Top Gun (1986)'
b'302',b'L.A. Confidential (1997)'
b'918',b'City of Angels (1998)'
b'50',b'Star Wars (1977)'
b'222',b'Star Trek: First Contact (1996)'
b'1226',b'Night Falls on Manhattan (1997)'
b'1220',b'Higher Learning (1995)'
b'513',"b'Third Man, The (1949)'"
b'77',"b'Firm, The (1993)'"
b'1608',b'Buddy (1997)'
b'1428',b'SubUrbia (1997)'
b'32',b'Crumb (1994)'
b'813',"b'Celluloid Closet, The (1995)'"
b'1065',b'Koyaanisqatsi (1983)'
b'846',b'To Gillian on Her 37th Birthday (1996)'
b'1250',b'Best of the Best 3: No Turning Back (1995)'
b'1160',b'Love! Valour! Compassion! (1997)'
b'1452',b'Lady of Burlesque (1943)'
b'1085',b'Carried Away (1996)'
b'1218',b'Friday (1995)'
b'772',b'Kids (1995)'
b'615',"b'39 Steps, The (1935)'"
b'613',b'My Man Godfrey (1936)'
b'246',b'Chasing Amy (1997)'
